Player,Team,Player & Team,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Derrick Jones,MIA,Derrick Jones TOT,SF,20,20,8,245,3.1,7.8,0.396,0.4,2.6,0.167,2.6,5.1,0.514,2.4,3.5,0.667,3.1,2.5,5.6,1.3,0.6,1.9,1,3.5,9
Derrick Rose,MIN,Derrick Rose TOT,PG,29,25,7,420,6.9,15.9,0.435,0.6,2.6,0.233,6.3,13.4,0.474,3.4,3.9,0.87,1.1,1.9,3,3.2,0.6,0.3,3,1.4,17.9
Derrick Walton,MIA,Derrick Walton MIA,PG,22,16,0,147,2,6.1,0.32,1.7,4.2,0.412,0.2,2,0.125,1.5,1.5,1,0.5,3.4,3.9,3.9,1.7,0.7,0.5,1.7,7.1
Derrick White,SAS,Derrick White SAS,PG,23,17,0,139,4.1,8.5,0.485,2.1,3.4,0.615,2.1,5.2,0.4,3.6,5.2,0.7,1.3,5.4,6.7,2.3,1,0.8,1.6,2.1,14
Derrick Williams,LAL,Derrick Williams LAL,PF,26,2,0,9,4,16,0.25,0,8,0,4,8,0.5,0,0,,0,4,4,0,0,0,0,0,8
Devin Booker,PHO,Devin Booker PHO,SG,21,54,54,1865,8.8,20.3,0.432,2.8,7.4,0.383,5.9,12.9,0.46,5.6,6.4,0.878,0.5,4.2,4.7,4.9,0.9,0.3,3.7,3.2,26
Devin Harris,DEN,Devin Harris TOT,PG,34,71,1,1340,5,12.2,0.412,2.1,6.1,0.348,2.9,6.1,0.476,3.8,4.6,0.835,0.3,3.1,3.4,4.1,1.3,0.3,2,4.2,16
Devin Robinson,WAS,Devin Robinson WAS,SF,22,1,0,13,2.8,8.3,0.333,0,0,,2.8,8.3,0.333,0,0,,5.5,8.3,13.8,0,2.8,0,0,5.5,5.5
Dewayne Dedmon,ATL,Dewayne Dedmon ATL,C,28,62,46,1542,5.8,11.1,0.524,1.2,3.3,0.355,4.7,7.8,0.595,1.6,2,0.779,2.3,9.1,11.4,2.1,0.9,1.2,2,3.8,14.4
Deyonta Davis,MEM,Deyonta Davis MEM,C,21,62,6,943,6.1,10.1,0.608,0,0,,6.1,10.1,0.608,1.5,2.2,0.667,2.9,6.7,9.5,1.5,0.6,1.5,1.2,4.8,13.7
Dillon Brooks,MEM,Dillon Brooks MEM,SF,22,82,74,2350,5.2,11.8,0.44,1.4,4,0.356,3.8,7.8,0.484,1.9,2.5,0.747,0.8,3.2,3.9,2.1,1.1,0.3,1.9,3.6,13.8
Dion Waiters,MIA,Dion Waiters MIA,SG,26,30,30,918,6.4,16.1,0.398,2,6.7,0.306,4.4,9.4,0.463,2,2.7,0.739,0.3,2.7,3,4.4,0.9,0.4,2.7,2.4,16.8
Dirk Nowitzki,DAL,Dirk Nowitzki DAL,C,39,77,77,1900,6.6,14.4,0.456,2.6,6.4,0.409,3.9,8,0.494,1.8,2,0.898,0.4,7.9,8.3,2.3,0.8,0.9,1,2.8,17.6
Domantas Sabonis,IND,Domantas Sabonis IND,C,21,74,19,1810,6.8,13.1,0.514,0.3,0.7,0.351,6.5,12.4,0.524,3.3,4.5,0.75,3.3,8.1,11.4,3,0.8,0.6,2.7,4.4,17.1
Donovan Mitchell,UTA,Donovan Mitchell UTA,SG,21,79,71,2638,8.1,18.6,0.437,2.6,7.5,0.34,5.6,11.1,0.502,3.3,4.1,0.805,0.7,3.3,4,4,1.6,0.4,2.9,2.9,22.1
Dorian Finney-Smith,DAL,Dorian Finney-Smith DAL,PF,24,21,13,448,3.7,9.7,0.38,1.6,5.4,0.299,2.1,4.3,0.481,0.9,1.2,0.733,1.8,4.3,6,2.1,0.8,0.3,1.7,3.5,9.9
Doug McDermott,DAL,Doug McDermott TOT,SF,26,81,4,1768,4.8,10.3,0.467,1.9,4.4,0.426,3,5.9,0.497,1.3,1.6,0.79,0.8,3.3,4.1,1.6,0.4,0.3,1.1,2.5,12.8
Dragan Bender,PHO,Dragan Bender PHO,PF,20,82,37,2069,3.3,8.4,0.386,2.1,5.6,0.366,1.2,2.8,0.426,0.7,0.9,0.765,0.7,5.6,6.3,2.3,0.4,0.9,1.9,2.9,9.2
Draymond Green,GSW,Draymond Green GSW,PF,27,70,70,2287,4.4,9.7,0.454,1.2,4,0.301,3.2,5.7,0.562,2.1,2.7,0.775,1.2,7.2,8.4,8,1.5,1.4,3.2,2.9,12.2
Dwayne Bacon,CHO,Dwayne Bacon CHO,SG,22,53,6,713,3.6,9.7,0.375,0.6,2.2,0.256,3.1,7.5,0.409,1,1.3,0.8,0.2,6.1,6.3,1.9,0.8,0.1,1.2,2.3,8.8
Dwight Buycks,DET,Dwight Buycks DET,PG,28,29,0,427,6.9,16.7,0.414,1.3,3.8,0.333,5.6,12.9,0.438,3,3.5,0.878,1,2.4,3.5,5,1.6,0.2,3.3,3.3,18.1
Dwight Howard,CHO,Dwight Howard CHO,C,32,81,81,2463,7.4,13.3,0.555,0,0.1,0.143,7.4,13.2,0.559,4.9,8.5,0.574,3.7,11.1,14.8,1.5,0.7,1.9,3,3.6,19.7
Dwight Powell,DAL,Dwight Powell DAL,C,26,79,25,1672,5.5,9.3,0.593,0.6,1.8,0.333,4.9,7.4,0.656,2.9,4,0.719,2.9,6.7,9.6,2,1.4,0.7,1.3,4,14.4
Dwyane Wade,MIA,Dwyane Wade TOT,SG,36,67,3,1536,7,16,0.438,0.7,2.6,0.288,6.3,13.4,0.468,3.2,4.4,0.714,1.2,4.7,5.9,5.3,1.4,1.1,3.3,2.9,17.9
E'Twaun Moore,NOP,E'Twaun Moore NOP,SG,28,82,80,2586,5.9,11.6,0.508,1.8,4.2,0.425,4.1,7.4,0.556,0.7,0.9,0.706,0.8,2.5,3.3,2.6,1.1,0.2,1.4,2.5,14.2
Ed Davis,POR,Ed Davis POR,C,28,78,0,1471,4.2,7.1,0.582,0,0,0,4.2,7.1,0.584,1.8,2.7,0.667,4.5,9.6,14.1,1,0.8,1.3,1.6,4.6,10.1
Edmond Sumner,IND,Edmond Sumner IND,PG,22,1,0,2,18,18,1,0,0,,18,18,1,0,0,,0,18,18,0,0,0,0,18,36
Ekpe Udoh,UTA,Ekpe Udoh UTA,C,30,63,3,810,2.7,5.3,0.5,0,0,0,2.7,5.3,0.504,1.9,2.5,0.75,3,3.6,6.7,2.4,1.9,3.3,0.9,4.7,7.2
Elfrid Payton,PHO,Elfrid Payton TOT,PG,23,63,63,1808,6.6,13.3,0.493,0.6,1.8,0.326,6,11.4,0.52,2.2,3.3,0.649,1.3,4.2,5.5,7.8,1.7,0.4,3.3,2.9,15.9
Emeka Okafor,NOP,Emeka Okafor NOP,C,35,26,19,353,4.9,9.7,0.505,0,0,,4.9,9.7,0.505,1.8,2.2,0.818,4.8,7.4,12.2,0.8,0.8,2.5,1.3,3.1,11.6
Emmanuel Mudiay,NYK,Emmanuel Mudiay TOT,PG,21,64,14,1245,5.9,15.2,0.388,1.4,4.3,0.318,4.5,10.9,0.415,2.8,3.7,0.76,0.8,3.6,4.4,6,1.2,0.3,3.3,2.3,16
Enes Kanter,NYK,Enes Kanter NYK,C,25,71,71,1830,8.3,14,0.592,0,0,0,8.3,14,0.594,3.1,3.6,0.848,5.4,10,15.3,2.1,0.7,0.7,2.4,3.7,19.7
Eric Bledsoe,MIL,Eric Bledsoe TOT,PG,28,74,74,2322,7.3,15.3,0.473,1.9,5.6,0.347,5.3,9.8,0.545,3.9,4.9,0.795,0.8,3.6,4.4,5.7,2.3,0.7,3.3,2.9,20.4
Eric Gordon,HOU,Eric Gordon HOU,SG,29,69,30,2154,6.9,16.2,0.428,3.6,10.2,0.359,3.3,6.1,0.544,3.3,4,0.809,0.4,2.4,2.8,2.6,0.7,0.5,2.2,1.9,20.8
Eric Moreland,DET,Eric Moreland DET,PF,26,67,3,805,3,5.5,0.541,0,0,,3,5.5,0.541,0.5,1.3,0.379,3.6,8.8,12.4,3.5,1.4,2.3,1.9,5.2,6.4
Erik McCree,UTA,Erik McCree UTA,SF,24,4,0,8,0,9,0,0,4.5,0,0,4.5,0,0,0,,0,4.5,4.5,0,4.5,0,4.5,0,0
Ersan Ilyasova,PHI,Ersan Ilyasova TOT,PF,30,69,43,1729,5.8,12.8,0.452,1.9,5.3,0.36,3.9,7.5,0.517,2.2,2.8,0.778,2.5,6,8.4,1.9,1.3,0.5,1.5,3.3,15.6
Evan Fournier,ORL,Evan Fournier ORL,SF,25,57,57,1837,7.2,15.7,0.459,2.5,6.6,0.379,4.7,9.2,0.516,2.9,3.4,0.867,0.5,3.1,3.5,3.2,0.9,0.3,1.9,2.7,19.9
Evan Turner,POR,Evan Turner POR,SF,29,79,40,2034,4.6,10.2,0.447,0.7,2.3,0.318,3.8,7.9,0.485,1.6,1.9,0.85,0.5,3.8,4.3,3.1,0.8,0.5,1.8,2.9,11.5
Frank Kaminsky,CHO,Frank Kaminsky CHO,PF,24,79,4,1835,6,14,0.429,2,5.4,0.38,4,8.7,0.459,3,3.8,0.799,0.9,4.7,5.7,2.5,0.7,0.4,1.3,1.9,17.1
Frank Mason,SAC,Frank Mason SAC,PG,23,52,2,984,5.3,13.9,0.379,1.1,3.1,0.36,4.1,10.8,0.384,3.4,4.2,0.817,1.1,3.7,4.8,5.4,1.2,0.4,2.4,2.6,15.1
Frank Ntilikina,NYK,Frank Ntilikina NYK,PG,19,78,9,1706,3.8,10.6,0.364,1.1,3.3,0.318,2.8,7.2,0.385,1,1.4,0.721,0.8,3,3.7,5.3,1.4,0.4,2.8,3.8,9.8
Fred VanVleet,TOR,Fred VanVleet TOR,PG,23,76,0,1520,5.5,12.9,0.426,2.6,6.2,0.414,2.9,6.7,0.437,2,2.4,0.832,0.6,3.8,4.4,5.8,1.6,0.5,1.8,3.1,15.5
Furkan Korkmaz,PHI,Furkan Korkmaz PHI,SG,20,14,0,80,3.6,12.6,0.286,2.3,7.7,0.294,1.4,5,0.273,0.9,1.8,0.5,0.9,4.1,5,1.8,0.9,0.5,0.9,5.4,10.4
Garrett Temple,SAC,Garrett Temple SAC,SG,31,65,35,1615,4.4,10.6,0.418,2,5.1,0.392,2.5,5.6,0.442,1.3,1.7,0.769,0.5,2.9,3.4,2.8,1.3,0.6,1.8,3,12.2
Gary Harris,DEN,Gary Harris DEN,SG,23,67,65,2304,6.9,14.2,0.485,2.4,6.2,0.396,4.4,8,0.553,2.1,2.5,0.827,0.6,2.2,2.7,3,1.9,0.2,1.9,1.9,18.3
Gary Payton,LAL,Gary Payton TOT,PG,25,23,6,221,4.9,12.1,0.405,1,4.1,0.24,3.9,8,0.49,0.5,1.5,0.333,2.1,5,7.2,3.4,1.1,0.5,1.1,4.9,11.2
George Hill,CLE,George Hill TOT,PG,31,67,60,1812,4.7,10.2,0.46,1.7,4.1,0.415,3,6.1,0.49,2.2,2.8,0.786,0.8,2.8,3.6,3.7,1.2,0.5,1.7,2.5,13.3
Georges Niang,UTA,Georges Niang UTA,PF,24,9,0,32,4.5,12.4,0.364,0,4.5,0,4.5,7.9,0.571,1.1,2.3,0.5,3.4,6.8,10.1,3.4,2.3,0,3.4,1.1,10.1
Georgios Papagiannis,POR,Georgios Papagiannis TOT,C,20,17,0,122,5.3,12.4,0.429,0,0,,5.3,12.4,0.429,0,0,,3.8,7.1,10.9,2.7,1.2,1.8,2.4,3.5,10.6
Gerald Green,HOU,Gerald Green HOU,SG,32,41,2,929,6.5,16,0.407,4.3,11.5,0.369,2.2,4.5,0.504,2,2.3,0.85,0.6,4.6,5.2,1,0.9,0.6,1.2,3.4,19.3
Gian Clavell,DAL,Gian Clavell DAL,SG,24,7,0,64,3.4,10.1,0.333,3.4,8.4,0.4,0,1.7,0,1.1,1.1,1,0.6,3.4,3.9,1.7,1.1,0,1.1,4.5,11.3
Giannis Antetokounmpo,MIL,Giannis Antetokounmpo MIL,PF,23,75,75,2756,9.7,18.3,0.529,0.6,1.8,0.307,9.1,16.5,0.554,6.4,8.4,0.76,2,7.8,9.8,4.7,1.4,1.4,2.9,3,26.3
Glen Robinson,IND,Glen Robinson IND,SF,24,23,1,338,3.8,9.1,0.424,1.5,3.6,0.412,2.3,5.4,0.431,1,1.2,0.818,1.2,2.8,3.9,1.8,1.4,0.1,0.5,1.5,10.1
Goran Dragi?,MIA,Goran Dragi? MIA,PG,31,75,75,2378,7.3,16.3,0.45,1.7,4.5,0.37,5.6,11.7,0.481,3.3,4.1,0.801,0.8,3.8,4.6,5.4,1,0.2,2.5,2.7,19.6
Gordon Hayward,BOS,Gordon Hayward BOS,SF,27,1,1,5,7.2,14.4,0.5,0,7.2,0,7.2,7.2,1,0,0,,0,7.2,7.2,0,0,0,0,7.2,14.4
Gorgui Dieng,MIN,Gorgui Dieng MIN,C,28,79,0,1333,5,10.5,0.479,0.5,1.6,0.311,4.5,8.8,0.511,2.1,2.8,0.775,2.9,6.9,9.7,1.9,1.2,1.1,1.6,4,12.7
Greg Monroe,BOS,Greg Monroe TOT,C,27,51,14,1040,7.5,13.4,0.565,0,0,,7.5,13.4,0.565,3,4.1,0.739,3.8,8.3,12.1,3.9,1.5,0.8,3.3,3.3,18.1
Guerschon Yabusele,BOS,Guerschon Yabusele BOS,PF,22,33,4,235,4,9.3,0.426,1.8,5.7,0.324,2.1,3.7,0.583,2.3,3.4,0.682,2.6,5.4,8,2.5,0.6,0.8,1.8,3.5,12.1
Harrison Barnes,DAL,Harrison Barnes DAL,PF,25,77,77,2634,7.3,16.5,0.445,1.6,4.6,0.357,5.7,12,0.478,3.5,4.3,0.827,1.1,5.3,6.4,2.1,0.7,0.2,1.6,1.3,19.8
Hassan Whiteside,MIA,Hassan Whiteside MIA,C,28,54,54,1364,8.2,15.3,0.54,0.1,0.1,1,8.2,15.2,0.538,3.4,4.8,0.703,4.6,11.7,16.3,1.4,1,2.5,2.4,3.5,19.9
Henry Ellenson,DET,Henry Ellenson DET,PF,21,38,0,329,5.8,16,0.363,2.2,6.6,0.333,3.6,9.4,0.384,2.7,3.2,0.862,1.1,7.8,8.9,2.2,0.5,0,2,2.4,16.5
Ian Clark,NOP,Ian Clark NOP,SG,26,74,2,1455,5.5,12.2,0.448,1.5,4.8,0.318,4,7.4,0.533,1.1,1.5,0.763,0.2,2.9,3.1,2.7,0.8,0.2,1.4,3,13.6
Ian Mahinmi,WAS,Ian Mahinmi WAS,C,31,77,0,1145,4.3,7.8,0.556,0,0.1,0,4.3,7.7,0.561,2.8,4,0.703,4.2,5.6,9.8,1.7,1.2,1.3,3.1,7.2,11.5
Ike Anigbogu,IND,Ike Anigbogu IND,C,19,11,0,30,4.8,10.8,0.444,0,0,,4.8,10.8,0.444,6,7.2,0.833,6,4.8,10.8,0,1.2,3.6,2.4,1.2,15.6
Iman Shumpert,CLE,Iman Shumpert CLE,SG,27,14,6,276,2.9,7.6,0.379,0.9,3.4,0.269,2,4.2,0.469,1.4,2,0.733,0.9,4.4,5.3,2.2,1.2,0.5,2.1,2.9,8.1
Isaiah Canaan,PHO,Isaiah Canaan TOT,PG-SG,26,20,1,422,4.4,11.7,0.38,1.9,5.6,0.333,2.6,6.1,0.423,3.9,4.4,0.902,0.5,3.3,3.8,6.5,1.4,0.1,2.5,3.1,14.7
Isaiah Hicks,NYK,Isaiah Hicks NYK,PF,23,18,0,240,5,10.8,0.458,0.3,1.4,0.222,4.6,9.5,0.492,1.8,2.7,0.667,1.5,4.6,6.1,2.4,0.3,0.6,2.4,6.8,12
