Player,Team,Player & Team,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Naz Mitrou-Long,UTA,Naz Mitrou-Long UTA,SG,24,1,0,1,36,36,1,36,36,1,0,0,,0,0,,0,0,0,0,0,0,0,0,108
Nemanja Bjelica,MIN,Nemanja Bjelica MIN,PF,29,67,21,1371,4.5,9.7,0.461,2,4.8,0.415,2.5,4.9,0.505,0.9,1.2,0.8,1.4,5.8,7.2,2.3,1.3,0.4,1.4,3.7,11.9
Nene Hilario,HOU,Nene Hilario HOU,C,35,52,4,758,6.5,11.4,0.569,0,0.1,0,6.5,11.3,0.574,3.2,5.1,0.636,2.6,5.8,8.4,2.1,1.3,0.7,1.8,5.8,16.1
Nerlens Noel,DAL,Nerlens Noel DAL,C,23,30,6,472,4.2,8,0.524,0,0.1,0,4.2,7.9,0.529,1.6,2.1,0.75,3.7,9.2,12.8,1.5,2.4,1.7,2,4.5,10
Nick Collison,OKC,Nick Collison OKC,PF,37,15,0,75,6.2,9.1,0.684,0,0,,6.2,9.1,0.684,2.4,6.2,0.385,3.4,6.2,9.6,1.9,0,0,3.4,3.4,14.9
Nick Young,GSW,Nick Young GSW,SG,32,80,8,1393,5.2,12.6,0.412,3.2,8.4,0.377,2,4.2,0.481,1.4,1.7,0.862,0.5,2.7,3.2,0.9,1,0.2,1,2.6,15
Nicolas Batum,CHO,Nicolas Batum CHO,SG,29,64,64,1981,4.9,11.8,0.415,1.7,5,0.336,3.2,6.8,0.473,2,2.4,0.831,1,4.5,5.6,6.3,1.2,0.4,2.4,1.3,13.4
Nicolas Brussino,ATL,Nicolas Brussino ATL,SF,24,4,0,10,0,7.2,0,0,7.2,0,0,0,,0,0,,0,10.8,10.8,0,0,0,0,0,0
Nigel Hayes,SAC,Nigel Hayes TOT,SF,23,9,0,122,3.2,9.7,0.333,1.2,4.7,0.25,2.1,5,0.412,0.3,0.9,0.333,1.2,5.3,6.5,1.8,0.6,0.9,0.6,2.4,8
Nik Stauskas,BRK,Nik Stauskas TOT,SG,24,41,0,523,4.1,10.6,0.39,2.8,6.9,0.4,1.4,3.7,0.37,1.4,2,0.724,0.3,4.1,4.4,2.7,0.6,0.3,1.8,1.7,12.5
Nikola Joki?,DEN,Nikola Joki? DEN,C,22,75,73,2443,7.4,14.9,0.499,1.6,4.1,0.396,5.8,10.8,0.538,3.9,4.6,0.85,2.9,9,11.8,6.7,1.3,0.9,3.1,3.1,20.4
Nikola Mirotic,NOP,Nikola Mirotic TOT,PF,26,55,14,1494,7.4,16.5,0.447,3.3,8.6,0.377,4.1,7.9,0.525,2.7,3.3,0.818,1.4,8.3,9.8,1.9,1.1,0.9,1.5,2.6,20.7
Nikola Vu?evi?,ORL,Nikola Vu?evi? ORL,C,27,57,57,1683,8.5,18,0.475,1.4,4.4,0.314,7.2,13.6,0.527,1.6,2,0.819,2.2,9,11.2,4.1,1.2,1.3,2.3,3.1,20.1
Noah Vonleh,CHI,Noah Vonleh TOT,PF,22,54,16,875,4.3,9.6,0.444,0.8,2.7,0.303,3.5,6.9,0.5,1.5,2.4,0.621,2.9,9.9,12.8,1.4,0.8,0.7,1.3,2.8,10.9
Norman Powell,TOR,Norman Powell TOR,SG,24,70,18,1062,5.1,12.7,0.401,1.8,6.3,0.285,3.3,6.4,0.516,1.1,1.3,0.821,0.5,3.6,4,3,1.3,0.5,2.2,3.8,13.1
