Player,Team,Player & Team,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DeAndre Liggins,NOP,DeAndre Liggins NOP,SG,29,27,3,9,0.7,1.5,0.439,0.3,0.6,0.471,0.4,0.9,0.417,0.537,0,0,,0.1,0.9,1,0.8,0.4,0.1,0.3,0.7,1.6
Damian Lillard,POR,Damian Lillard POR,PG,27,73,73,36.6,8.5,19.4,0.439,3.1,8.6,0.361,5.4,10.8,0.501,0.519,6.8,7.4,0.916,0.8,3.6,4.5,6.6,1.1,0.4,2.8,1.6,26.9
Jeremy Lin,BRK,Jeremy Lin BRK,PG,29,1,1,25,5,12,0.417,1,2,0.5,4,10,0.4,0.458,7,7,1,0,0,0,4,0,0,3,3,18
Shaun Livingston,GSW,Shaun Livingston GSW,PG,32,71,7,15.9,2.4,4.8,0.501,0,0.1,0,2.4,4.8,0.509,0.501,0.7,0.9,0.82,0.5,1.4,1.8,2,0.5,0.3,0.8,1.6,5.5
Kevon Looney,GSW,Kevon Looney GSW,C,21,66,4,13.8,1.7,2.9,0.58,0,0.1,0.2,1.7,2.8,0.59,0.583,0.6,1.2,0.545,1.3,2,3.3,0.6,0.5,0.8,0.5,1.6,4
Brook Lopez,LAL,Brook Lopez LAL,C,29,74,72,23.4,5,10.7,0.465,1.5,4.4,0.345,3.5,6.3,0.549,0.536,1.5,2.1,0.703,1,3,4,1.7,0.4,1.3,1.3,2.6,13
Robin Lopez,CHI,Robin Lopez CHI,C,29,64,64,26.4,5.3,10.1,0.53,0.1,0.2,0.286,5.3,9.9,0.536,0.533,1.1,1.4,0.756,2.1,2.4,4.5,1.9,0.2,0.8,1.7,1.7,11.8
Kevin Love,CLE,Kevin Love CLE,C,29,59,59,28,5.7,12.4,0.458,2.3,5.6,0.415,3.3,6.8,0.494,0.552,4,4.5,0.88,1.7,7.5,9.3,1.7,0.7,0.4,1.5,2,17.6
Kyle Lowry,TOR,Kyle Lowry TOR,PG,31,78,78,32.2,5.2,12.1,0.427,3.1,7.6,0.399,2.1,4.5,0.474,0.553,2.9,3.3,0.854,0.8,4.7,5.6,6.9,1.1,0.2,2.3,2.5,16.2
Timothe Luwawu-Cabarrot,PHI,Timothe Luwawu-Cabarrot PHI,SF,22,52,7,15.5,1.9,5.1,0.375,1,3,0.335,0.9,2.1,0.431,0.474,0.9,1.1,0.793,0.3,1.1,1.4,1,0.2,0.1,0.7,1.9,5.8
Tyler Lydon,DEN,Tyler Lydon DEN,PF,21,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
Trey Lyles,DEN,Trey Lyles DEN,PF,22,73,2,19.1,3.7,7.5,0.491,1.1,3,0.381,2.6,4.5,0.563,0.566,1.4,2,0.706,0.8,4,4.8,1.2,0.4,0.5,0.8,1.5,9.9
Shelvin Mack,ORL,Shelvin Mack ORL,PG,27,69,3,19.8,2.6,6,0.43,0.7,2,0.345,1.9,4,0.473,0.488,1,1.4,0.711,0.3,2.1,2.4,3.9,0.8,0.1,1.3,1.3,6.9
Iman Shumpert,CLE,Iman Shumpert CLE,SG,27,14,6,19.7,1.6,4.1,0.379,0.5,1.9,0.269,1.1,2.3,0.469,0.44,0.8,1.1,0.733,0.5,2.4,2.9,1.2,0.6,0.3,1.1,1.6,4.4
Ian Mahinmi,WAS,Ian Mahinmi WAS,C,31,77,0,14.9,1.8,3.2,0.556,0,0,0,1.8,3.2,0.561,0.556,1.2,1.7,0.703,1.8,2.3,4.1,0.7,0.5,0.5,1.3,3,4.8
Thon Maker,MIL,Thon Maker MIL,C,20,74,12,16.7,1.8,4.3,0.411,0.4,1.4,0.298,1.3,2.9,0.467,0.46,0.9,1.3,0.699,1,2,3,0.6,0.5,0.7,0.6,2.2,4.8
Boban Marjanovic,TOT,Boban Marjanovic TOT,C,29,39,1,8.6,2,3.8,0.534,0,0,,2,3.8,0.534,0.534,2,2.5,0.794,1.2,2.5,3.7,0.6,0.3,0.3,0.9,1.3,6
Jamel Artis,ORL,Jamel Artis ORL,SG,25,15,1,18.6,2.1,5.3,0.392,0.5,1.9,0.276,1.5,3.3,0.46,0.443,0.5,0.8,0.583,0.3,2.3,2.5,1.2,0.1,0.2,0.5,0.7,5.1
Boban Marjanovi?,LAC,Boban Marjanovi? LAC,C,29,20,0,8.3,1.9,3.5,0.551,0,0,,1.9,3.5,0.551,0.551,2.1,2.6,0.788,1.7,2.7,4.4,0.4,0.3,0.3,0.7,1.2,5.9
Lauri Markkanen,CHI,Lauri Markkanen CHI,PF,20,68,68,29.7,5.5,12.7,0.434,2.1,5.9,0.362,3.4,6.8,0.497,0.518,2.1,2.4,0.843,1.2,6.3,7.5,1.2,0.6,0.6,1.2,1.5,15.2
Jarell Martin,MEM,Jarell Martin MEM,PF,23,73,36,22.8,3,6.8,0.446,0.5,1.3,0.347,2.6,5.5,0.47,0.48,1.2,1.6,0.767,1.3,3,4.4,1,0.5,0.7,1.2,2.9,7.7
Frank Mason,SAC,Frank Mason SAC,PG,23,52,2,18.9,2.8,7.3,0.379,0.6,1.7,0.36,2.2,5.7,0.384,0.42,1.8,2.2,0.817,0.6,1.9,2.5,2.8,0.7,0.2,1.3,1.4,7.9
Damion Lee,ATL,Damion Lee ATL,SG,25,15,11,26.9,4.1,10.1,0.408,1,4,0.25,3.1,6.1,0.511,0.457,1.5,1.9,0.759,0.7,4,4.7,1.9,1.3,0.1,0.9,1.7,10.7
Wesley Matthews,DAL,Wesley Matthews DAL,SF,31,63,62,33.8,4.5,11.1,0.406,2.4,6.4,0.381,2.1,4.7,0.441,0.516,1.3,1.6,0.822,0.4,2.7,3.1,2.7,1.2,0.3,1.3,2.2,12.7
Luc Mbah a Moute,HOU,Luc Mbah a Moute HOU,PF,31,61,15,25.6,2.7,5.7,0.481,1,2.8,0.364,1.7,2.8,0.599,0.572,1.1,1.6,0.684,0.4,2.7,3,0.9,1.2,0.4,1.1,1.6,7.5
James Michael McAdoo,PHI,James Michael McAdoo PHI,PF,25,3,0,6,0.7,2.3,0.286,0.7,2.3,0.286,0,0,,0.429,0.7,0.7,1,0,0.7,0.7,0,0,0.3,0.3,0.3,2.7
Patrick McCaw,GSW,Patrick McCaw GSW,SG,22,57,10,16.9,1.6,3.9,0.409,0.3,1.4,0.238,1.3,2.5,0.503,0.451,0.5,0.6,0.765,0.3,1.2,1.4,1.4,0.8,0.2,0.7,1.2,4
C.J. McCollum,POR,C.J. McCollum POR,SG,26,81,81,36.1,8.2,18.6,0.443,2.3,5.9,0.397,5.9,12.7,0.465,0.506,2.6,3.1,0.836,0.7,3.3,4,3.4,1,0.4,1.9,2.1,21.4
T.J. McConnell,PHI,T.J. McConnell PHI,PG,25,76,1,22.4,2.8,5.5,0.499,0.4,0.8,0.435,2.4,4.7,0.51,0.531,0.4,0.5,0.795,0.5,2.5,3,4,1.2,0.2,1.5,1.6,6.3
Malcolm Miller,TOR,Malcolm Miller TOR,SF,24,15,4,8.4,0.9,1.9,0.464,0.5,1.4,0.381,0.3,0.5,0.714,0.607,0.3,0.3,1,0.3,0.7,1,0.2,0.1,0.1,0.3,0.7,2.5
Chris McCullough,WAS,Chris McCullough WAS,PF,22,19,0,4.7,0.9,2.2,0.429,0.1,0.4,0.125,0.9,1.8,0.5,0.44,0.5,0.7,0.643,0.4,0.9,1.3,0.2,0,0.3,0.1,0.4,2.4
Doug McDermott,TOT,Doug McDermott TOT,SF,26,81,4,21.8,2.9,6.3,0.467,1.1,2.7,0.426,1.8,3.6,0.497,0.557,0.8,1,0.79,0.5,2,2.5,1,0.2,0.2,0.7,1.5,7.8
Isaiah Thomas,CLE,Isaiah Thomas CLE,PG,28,15,14,27.1,4.7,12.9,0.361,1.5,5.8,0.253,3.2,7.1,0.449,0.418,3.9,4.5,0.868,0.5,1.6,2.1,4.5,0.6,0.1,2.7,1.7,14.7
Doug McDermott,DAL,Doug McDermott DAL,SF,26,26,3,22.9,3.3,6.9,0.478,1.5,3,0.494,1.8,3.9,0.465,0.586,0.9,1.1,0.857,0.3,2.3,2.5,1.1,0.3,0.2,0.8,1.9,9
JaVale McGee,GSW,JaVale McGee GSW,C,30,65,17,9.5,2.1,3.4,0.621,0,0.1,0,2.1,3.3,0.638,0.621,0.6,0.8,0.731,0.9,1.7,2.6,0.5,0.3,0.9,0.4,1.4,4.8
Rodney McGruder,MIA,Rodney McGruder MIA,SG,26,18,2,16.6,2,4.1,0.493,0.8,1.9,0.429,1.2,2.1,0.553,0.596,0.2,0.4,0.5,0.6,1.2,1.8,0.9,0.4,0.2,0.2,1.2,5.1
Trey McKinney-Jones,IND,Trey McKinney-Jones IND,SG,27,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
Alfonzo McKinnie,TOR,Alfonzo McKinnie TOR,SF,25,14,0,3.8,0.6,1.1,0.533,0.2,0.6,0.333,0.4,0.4,0.833,0.633,0.1,0.2,0.667,0.1,0.4,0.5,0.1,0.1,0.1,0.2,0.6,1.5
Ben McLemore,MEM,Ben McLemore MEM,SG,24,56,17,19.5,2.8,6.7,0.421,1,2.8,0.346,1.8,3.8,0.477,0.495,0.9,1.1,0.828,0.6,1.9,2.5,0.9,0.7,0.3,1.1,2.5,7.5
Josh McRoberts,DAL,Josh McRoberts DAL,PF,30,2,0,3,0,0.5,0,0,0.5,0,0,0,,0,0,0,,0,0,0,0,0,0,0,1,0
Jodie Meeks,WAS,Jodie Meeks WAS,SG,30,77,0,14.5,2,5.1,0.399,0.9,2.7,0.343,1.1,2.4,0.464,0.491,1.3,1.5,0.863,0.2,1.4,1.6,0.9,0.4,0.1,0.5,0.7,6.3
Salah Mejri,DAL,Salah Mejri DAL,C,31,61,1,12,1.4,2.2,0.642,0,0,0,1.4,2.2,0.657,0.642,0.6,1.1,0.576,1.4,2.6,4,0.6,0.4,1.1,0.6,2,3.5
Jordan Mickey,MIA,Jordan Mickey MIA,PF,23,23,3,12.3,1.7,3.6,0.476,0.1,0.7,0.125,1.6,2.9,0.561,0.488,0.6,0.8,0.684,0.8,2.7,3.5,0.4,0.3,0.4,0.8,1.6,4
Khris Middleton,MIL,Khris Middleton MIL,SF,26,82,82,36.4,7.2,15.5,0.466,1.8,5,0.359,5.5,10.5,0.517,0.524,3.9,4.4,0.884,0.5,4.7,5.2,4,1.5,0.3,2.3,3.3,20.1
C.J. Miles,TOR,C.J. Miles TOR,SF,30,70,3,19.1,3.2,8.6,0.379,2.3,6.5,0.361,0.9,2.1,0.434,0.516,1.2,1.4,0.835,0.3,1.9,2.2,0.8,0.5,0.3,0.6,1.9,10
Darius Miller,NOP,Darius Miller NOP,SF,27,82,3,23.7,2.6,5.9,0.444,1.8,4.4,0.411,0.8,1.6,0.535,0.594,0.7,0.8,0.866,0.2,1.8,2,1.4,0.3,0.2,0.7,2,7.8
Andrew White,ATL,Andrew White ATL,SF,24,15,0,13.9,1.7,4.9,0.342,1.2,3.3,0.367,0.5,1.6,0.292,0.466,0.1,0.3,0.25,0.3,2,2.3,0.4,0.2,0.1,0.5,0.8,4.6
Patty Mills,SAS,Patty Mills SAS,PG,29,82,36,25.7,3.4,8.3,0.411,1.9,5,0.372,1.5,3.3,0.47,0.523,1.3,1.4,0.89,0.3,1.6,1.9,2.8,0.7,0.1,1.3,1.6,10
Paul Millsap,DEN,Paul Millsap DEN,PF,32,38,37,30.1,5.3,11.4,0.464,1,3,0.345,4.3,8.5,0.506,0.509,2.9,4.2,0.696,1.7,4.7,6.4,2.8,1,1.2,1.9,2.6,14.6
Nikola Mirotic,TOT,Nikola Mirotic TOT,PF,26,55,14,27.2,5.6,12.4,0.447,2.5,6.5,0.377,3.1,5.9,0.525,0.546,2,2.5,0.818,1.1,6.3,7.4,1.5,0.8,0.7,1.1,2,15.6
Derrick Rose,CLE,Derrick Rose CLE,PG,29,16,7,19.3,3.6,8.3,0.439,0.4,1.5,0.25,3.3,6.8,0.481,0.462,2.2,2.6,0.854,0.6,1.2,1.8,1.6,0.2,0.3,1.8,0.9,9.8
Nikola Miroti?,NOP,Nikola Miroti? NOP,PF,26,30,11,29.1,5.4,12.7,0.427,2.2,6.6,0.335,3.2,6.2,0.524,0.513,1.6,1.9,0.81,1.4,6.8,8.2,1.4,1,0.9,1,2.1,14.6
Donovan Mitchell,UTA,Donovan Mitchell UTA,SG,21,79,71,33.4,7.5,17.2,0.437,2.4,7,0.34,5.2,10.3,0.502,0.506,3,3.8,0.805,0.7,3.1,3.7,3.7,1.5,0.3,2.7,2.7,20.5
Naz Mitrou-Long,UTA,Naz Mitrou-Long UTA,SG,24,1,0,1,1,1,1,1,1,1,0,0,,1.5,0,0,,0,0,0,0,0,0,0,0,3
Malik Monk,CHO,Malik Monk CHO,SG,19,63,0,13.6,2.4,6.7,0.36,1.3,3.9,0.342,1.1,2.9,0.385,0.458,0.5,0.6,0.842,0.1,0.9,1,1.4,0.3,0.1,0.8,1,6.7
Greg Monroe,TOT,Greg Monroe TOT,C,27,51,14,20.4,4.3,7.6,0.565,0,0,,4.3,7.6,0.565,0.565,1.7,2.3,0.739,2.1,4.7,6.9,2.2,0.9,0.5,1.8,1.9,10.3
Derrick Walton,MIA,Derrick Walton MIA,PG,22,16,0,9.2,0.5,1.6,0.32,0.4,1.1,0.412,0.1,0.5,0.125,0.46,0.4,0.4,1,0.1,0.9,1,1,0.4,0.2,0.1,0.4,1.8
Greg Monroe,PHO,Greg Monroe PHO,C,27,20,14,23.3,4.9,7.8,0.626,0,0,,4.9,7.8,0.626,0.626,1.6,2.3,0.674,2.5,5.5,8,2.5,0.8,0.3,2,2,11.3
Greg Monroe,BOS,Greg Monroe BOS,C,27,26,0,19.1,4,7.6,0.53,0,0,,4,7.6,0.53,0.53,2.1,2.7,0.797,2,4.3,6.3,2.3,1.1,0.7,1.8,1.8,10.2
Luis Montero,DET,Luis Montero DET,SG,24,2,0,4,0,0.5,0,0,0,,0,0.5,0,0,0,0,,0,1,1,0,0,0,1,0,0
Trevor Booker,IND,Trevor Booker IND,PF,30,17,1,15.8,2.3,4.9,0.464,0.2,0.8,0.214,2.1,4.1,0.514,0.482,0.6,0.6,0.909,1.9,2.6,4.5,1,0.2,0.3,0.5,1.5,5.4
E'Twaun Moore,NOP,E'Twaun Moore NOP,SG,28,82,80,31.5,5.2,10.1,0.508,1.6,3.7,0.425,3.6,6.5,0.556,0.585,0.6,0.8,0.706,0.7,2.2,2.9,2.3,1,0.1,1.2,2.2,12.5
Eric Moreland,DET,Eric Moreland DET,PF,26,67,3,12,1,1.8,0.541,0,0,,1,1.8,0.541,0.541,0.2,0.4,0.379,1.2,2.9,4.1,1.2,0.5,0.8,0.6,1.7,2.1
Jaylen Morris,ATL,Jaylen Morris ATL,SG,22,6,0,16.3,2.2,5.3,0.406,0.3,1.7,0.2,1.8,3.7,0.5,0.438,0,0,,0.3,2.3,2.7,1.2,0.3,0.2,1,0.3,4.7
Marcus Morris,BOS,Marcus Morris BOS,PF,28,54,21,26.8,4.9,11.3,0.429,1.6,4.3,0.368,3.3,7,0.467,0.499,2.3,2.9,0.805,0.8,4.6,5.4,1.3,0.6,0.2,1.2,1.9,13.6
Markieff Morris,WAS,Markieff Morris WAS,PF,28,73,73,27,4.5,9.4,0.48,1,2.8,0.367,3.5,6.6,0.529,0.536,1.4,1.8,0.82,1,4.6,5.6,1.9,0.8,0.5,1.7,3,11.5
Kadeem Allen,BOS,Kadeem Allen BOS,PG,25,18,1,5.9,0.3,1.2,0.273,0,0.6,0,0.3,0.6,0.545,0.273,0.4,0.5,0.778,0.2,0.4,0.6,0.7,0.2,0.1,0.5,0.8,1.1
Trevor Booker,BRK,Trevor Booker BRK,PF,30,18,6,21.9,4.3,8.3,0.513,0.2,0.7,0.25,4.1,7.7,0.536,0.523,1.3,2.4,0.558,2.1,4.5,6.6,2.1,0.4,0.3,1.7,2.4,10.1
Timofey Mozgov,BRK,Timofey Mozgov BRK,C,31,31,13,11.6,1.7,3,0.559,0.1,0.6,0.222,1.5,2.4,0.64,0.581,0.7,1,0.767,1,2.1,3.2,0.4,0.2,0.4,1.1,1.3,4.2
Emmanuel Mudiay,TOT,Emmanuel Mudiay TOT,PG,21,64,14,19.5,3.2,8.2,0.388,0.7,2.3,0.318,2.5,5.9,0.415,0.433,1.5,2,0.76,0.4,2,2.4,3.2,0.6,0.2,1.8,1.3,8.6
Corey Brewer,OKC,Corey Brewer OKC,SG,31,18,16,28.6,3.6,8,0.444,1.3,3.7,0.343,2.3,4.3,0.532,0.524,1.7,2.2,0.795,1.1,2.3,3.4,1.3,2.1,0.3,0.6,3.1,10.1
Emmanuel Mudiay,NYK,Emmanuel Mudiay NYK,PG,21,22,14,22.4,3.4,9.3,0.368,0.4,2.1,0.196,3,7.2,0.418,0.39,1.6,2.3,0.686,0.5,2.2,2.6,3.9,0.9,0.3,1.9,1.5,8.8
Shabazz Muhammad,TOT,Shabazz Muhammad TOT,SF-SG,25,43,2,9.7,2,4.4,0.447,0.2,0.6,0.259,1.8,3.7,0.478,0.465,0.9,1.2,0.78,0.5,1.2,1.8,0.3,0.2,0.1,0.1,0.7,5
Shabazz Muhammad,MIN,Shabazz Muhammad MIN,SF,25,32,2,9.4,1.5,3.8,0.388,0.1,0.6,0.211,1.3,3.2,0.422,0.405,0.7,1,0.71,0.5,0.9,1.4,0.2,0.2,0.1,0.2,0.7,3.8
Isaiah Hicks,NYK,Isaiah Hicks NYK,PF,23,18,0,13.3,1.8,4,0.458,0.1,0.5,0.222,1.7,3.5,0.492,0.472,0.7,1,0.667,0.6,1.7,2.3,0.9,0.1,0.2,0.9,2.5,4.4
Josh Magette,ATL,Josh Magette ATL,PG,28,18,0,12,0.8,2.6,0.326,0.4,1.2,0.364,0.4,1.3,0.292,0.413,0.4,0.4,1,0.1,0.9,1.1,3.2,0.4,0.1,0.5,0.9,2.6
Dejounte Murray,SAS,Dejounte Murray SAS,PG,21,81,48,21.5,3.3,7.5,0.443,0.1,0.4,0.265,3.2,7.1,0.454,0.451,1.3,1.8,0.709,1.4,4.3,5.7,2.9,1.2,0.4,1.7,1.9,8.1
Jamal Murray,DEN,Jamal Murray DEN,PG,20,81,80,31.7,5.9,13.1,0.451,2,5.4,0.378,3.9,7.7,0.502,0.529,2.8,3.1,0.905,1,2.7,3.7,3.4,1,0.3,2.1,2.1,16.7
Mike Muscala,ATL,Mike Muscala ATL,C,26,53,7,20,2.7,5.9,0.458,1.2,3.2,0.371,1.5,2.7,0.559,0.558,1.1,1.2,0.919,1.1,3.3,4.3,1,0.6,0.5,0.8,1.5,7.6
Abdel Nader,BOS,Abdel Nader BOS,SF,24,48,1,10.9,1,3.1,0.336,0.5,1.4,0.354,0.6,1.8,0.321,0.413,0.5,0.8,0.59,0.3,1.2,1.5,0.5,0.3,0.2,0.7,0.9,3
Larry Nance,TOT,Larry Nance TOT,C,25,66,27,21.5,3.6,6.3,0.581,0,0.2,0.167,3.6,6.1,0.594,0.584,1.4,2.1,0.664,2.4,4.4,6.8,1.2,1.3,0.6,0.8,2.6,8.7
Antonio Blakeney,CHI,Antonio Blakeney CHI,SG,21,19,0,16.5,2.8,7.5,0.371,0.8,2.7,0.288,2,4.8,0.418,0.423,1.6,2.1,0.769,0.2,1.5,1.7,1.1,0.4,0.1,0.6,1,7.9
Larry Nance,CLE,Larry Nance CLE,C,25,24,10,20.8,3.7,6.7,0.55,0,0.3,0.125,3.6,6.3,0.572,0.553,1.5,2.1,0.72,2.2,4.8,7,1,1.2,0.8,0.4,2.5,8.9
Shabazz Napier,POR,Shabazz Napier POR,PG,26,74,10,20.7,3,7.2,0.42,1.1,2.9,0.376,1.9,4.2,0.45,0.497,1.6,1.9,0.841,0.4,1.9,2.3,2,1.1,0.2,1.2,1.1,8.7
Jameer Nelson,TOT,Jameer Nelson TOT,PG,35,50,0,20.3,1.9,4.9,0.389,0.8,2.5,0.331,1.1,2.4,0.45,0.473,0.3,0.4,0.8,0.3,1.8,2.1,3.6,0.5,0.1,1.3,1.6,4.9
Boban Marjanovic,DET,Boban Marjanovic DET,C,29,19,1,9,2.2,4.2,0.519,0,0,,2.2,4.2,0.519,0.519,1.9,2.4,0.8,0.8,2.2,3,0.7,0.2,0.3,1.2,1.5,6.2
Jameer Nelson,DET,Jameer Nelson DET,PG,35,7,0,16.6,1.6,5.6,0.282,0.1,2,0.071,1.4,3.6,0.4,0.295,0.4,0.4,1,0.3,0.9,1.1,3.3,0.6,0.1,1.6,2,3.7
Raul Neto,UTA,Raul Neto UTA,PG,25,41,0,12.1,1.7,3.7,0.457,0.5,1.1,0.404,1.2,2.5,0.481,0.52,0.6,0.9,0.743,0.2,1,1.2,1.8,0.3,0.1,0.9,0.9,4.5
Myke Henry,MEM,Myke Henry MEM,SF,25,20,0,18.9,2.1,5.5,0.376,1,2.9,0.328,1.1,2.6,0.431,0.463,0.3,0.5,0.6,0.5,1.4,1.9,1.1,1.6,0.3,1,1.4,5.4
Joakim Noah,NYK,Joakim Noah NYK,C,32,7,0,5.7,0.7,1.4,0.5,0,0,,0.7,1.4,0.5,0.5,0.3,0.6,0.5,0.9,1.1,2,0.6,0.3,0.3,0.6,0.7,1.7
Nerlens Noel,DAL,Nerlens Noel DAL,C,23,30,6,15.7,1.8,3.5,0.524,0,0,0,1.8,3.5,0.529,0.524,0.7,0.9,0.75,1.6,4,5.6,0.7,1,0.7,0.9,2,4.4
Lucas Nogueira,TOR,Lucas Nogueira TOR,C,25,49,3,8.5,1,1.6,0.613,0.1,0.4,0.263,0.9,1.2,0.721,0.644,0.4,0.6,0.679,0.4,1.4,1.8,0.4,0.5,0.9,0.3,1,2.5
Dirk Nowitzki,DAL,Dirk Nowitzki DAL,C,39,77,77,24.7,4.5,9.8,0.456,1.8,4.4,0.409,2.7,5.5,0.494,0.547,1.3,1.4,0.898,0.3,5.4,5.7,1.6,0.6,0.6,0.7,1.9,12
Frank Ntilikina,NYK,Frank Ntilikina NYK,PG,19,78,9,21.9,2.3,6.4,0.364,0.6,2,0.318,1.7,4.4,0.385,0.414,0.6,0.9,0.721,0.5,1.8,2.3,3.2,0.8,0.2,1.7,2.3,5.9
Jusuf Nurki?,POR,Jusuf Nurki? POR,C,23,79,79,26.4,6.1,12,0.505,0,0.1,0,6.1,11.9,0.508,0.505,2.2,3.5,0.63,2.4,6.6,9,1.8,0.8,1.4,2.3,3.1,14.3
David Nwaba,CHI,David Nwaba CHI,SG,25,70,21,23.5,2.9,6,0.478,0.3,0.7,0.346,2.6,5.3,0.496,0.499,1.9,2.9,0.655,1.3,3.4,4.7,1.5,0.8,0.4,1.1,2.3,7.9
Luke Kornet,NYK,Luke Kornet NYK,PF,22,20,1,16.3,2.5,6.3,0.392,1.4,4,0.354,1.1,2.3,0.457,0.504,0.4,0.6,0.727,0.6,2.7,3.2,1.3,0.3,0.8,0.6,1.4,6.7
Royce O'Neale,UTA,Royce O'Neale UTA,SF,24,69,4,16.7,1.7,4.1,0.423,0.6,1.7,0.356,1.1,2.4,0.47,0.496,0.9,1.1,0.803,0.4,3.1,3.4,1.4,0.5,0.2,0.8,1.5,5
Kyle O'Quinn,NYK,Kyle O'Quinn NYK,C,27,77,10,18,2.9,5,0.583,0.1,0.2,0.235,2.9,4.8,0.599,0.589,1.3,1.6,0.772,1.6,4.5,6.1,2.1,0.5,1.3,1.3,2.5,7.1
Semi Ojeleye,BOS,Semi Ojeleye BOS,PF,23,73,0,15.8,0.9,2.6,0.346,0.5,1.7,0.32,0.3,0.9,0.397,0.452,0.3,0.6,0.61,0.5,1.7,2.2,0.3,0.3,0.1,0.3,1.2,2.7
Emeka Okafor,NOP,Emeka Okafor NOP,C,35,26,19,13.6,1.8,3.7,0.505,0,0,,1.8,3.7,0.505,0.505,0.7,0.8,0.818,1.8,2.8,4.6,0.3,0.3,1,0.5,1.2,4.4
Jahlil Okafor,TOT,Jahlil Okafor TOT,C,22,28,0,12.6,2.8,4.9,0.558,0,0.1,0.25,2.7,4.8,0.567,0.562,0.8,1,0.724,0.8,2.3,3,0.4,0.1,0.6,0.8,1.8,6.3
Alec Peters,PHO,Alec Peters PHO,PF,22,20,0,11.3,1.4,3.7,0.378,0.9,2.9,0.31,0.5,0.8,0.625,0.5,0.4,0.5,0.8,0.4,1.5,1.9,0.6,0.1,0.1,0.2,0.7,4.1
Jahlil Okafor,BRK,Jahlil Okafor BRK,C,22,26,0,12.6,2.8,5,0.566,0,0.2,0.25,2.8,4.8,0.576,0.57,0.7,1,0.76,0.7,2.3,2.9,0.4,0.1,0.6,0.7,1.7,6.4
Victor Oladipo,IND,Victor Oladipo IND,SG,25,75,75,34,8.5,17.9,0.477,2.1,5.8,0.371,6.4,12.1,0.528,0.537,3.9,4.9,0.799,0.6,4.6,5.2,4.3,2.4,0.8,2.9,2.3,23.1
Kelly Olynyk,MIA,Kelly Olynyk MIA,PF,26,76,22,23.4,4.2,8.4,0.497,1.4,3.7,0.379,2.8,4.7,0.59,0.58,1.8,2.3,0.77,1.2,4.5,5.7,2.7,0.8,0.5,1.9,2.9,11.5
Chinanu Onuaku,HOU,Chinanu Onuaku HOU,C,21,1,0,22,2,5,0.4,0,0,,2,5,0.4,0.4,0,0,,1,3,4,1,0,0,3,4,4
Cedi Osman,CLE,Cedi Osman CLE,SF,22,61,12,11,1.5,3,0.484,0.5,1.4,0.368,1,1.6,0.586,0.57,0.4,0.8,0.565,0.3,1.7,2,0.7,0.4,0,0.5,1.3,3.9
Kelly Oubre,WAS,Kelly Oubre WAS,SF,22,81,11,27.5,3.9,9.8,0.403,1.6,4.6,0.341,2.4,5.2,0.456,0.482,2.4,2.9,0.82,0.7,3.8,4.5,1.2,1,0.4,1.1,2.9,11.8
Zaza Pachulia,GSW,Zaza Pachulia GSW,C,33,69,57,14.1,2.2,3.8,0.564,0,0,0,2.2,3.8,0.567,0.564,1.1,1.3,0.806,1.3,3.4,4.7,1.6,0.6,0.2,1,1.8,5.4
Tony Allen,NOP,Tony Allen NOP,SF,36,22,0,12.4,2,4.1,0.484,0.2,0.5,0.333,1.8,3.6,0.506,0.505,0.5,1,0.524,0.9,1.2,2.1,0.4,0.5,0.1,0.9,2.2,4.7
Georgios Papagiannis,TOT,Georgios Papagiannis TOT,C,20,17,0,7.2,1.1,2.5,0.429,0,0,,1.1,2.5,0.429,0.429,0,0,,0.8,1.4,2.2,0.5,0.2,0.4,0.5,0.7,2.1
Georgios Papagiannis,SAC,Georgios Papagiannis SAC,C,20,16,0,7.4,1.1,2.6,0.415,0,0,,1.1,2.6,0.415,0.415,0,0,,0.8,1.5,2.3,0.6,0.1,0.4,0.5,0.8,2.1
Georgios Papagiannis,POR,Georgios Papagiannis POR,C,20,1,0,4,1,1,1,0,0,,1,1,1,1,0,0,,1,0,1,0,2,0,0,0,2
Jabari Parker,MIL,Jabari Parker MIL,PF,22,31,3,24,5.2,10.7,0.482,1,2.6,0.383,4.2,8.1,0.514,0.529,1.3,1.7,0.741,1.4,3.5,4.9,1.9,0.8,0.3,1.5,1.6,12.6
Tony Parker,SAS,Tony Parker SAS,PG,35,55,21,19.5,3.2,7.1,0.459,0.2,0.7,0.27,3.1,6.4,0.479,0.472,1,1.4,0.705,0.1,1.6,1.7,3.5,0.5,0,1.2,0.9,7.7
Chandler Parsons,MEM,Chandler Parsons MEM,SF,29,36,8,19.2,3,6.5,0.462,1.4,3.4,0.421,1.6,3.1,0.504,0.571,0.5,0.8,0.63,0.4,2.1,2.5,1.9,0.5,0.3,1,1.5,7.9
