Player,Team,Player & Team,season17_18
Willie Cauley-Stein,SAC,Willie Cauley-Stein SAC,3704160
Buddy Hield,SAC,Buddy Hield SAC,3675480
Will Barton,DEN,Will Barton DEN,3533333
Noah Vonleh,CHI,Noah Vonleh CHI,3505233
Frank Ntilikina,NYK,Frank Ntilikina NYK,3501120
Nene Hilario,HOU,Nene Hilario HOU,3477600
Zaza Pachulia,GSW,Zaza Pachulia GSW,3477600
Troy Daniels,PHO,Troy Daniels PHO,3408520
Emmanuel Mudiay,NYK,Emmanuel Mudiay NYK,3381480
Jamal Murray,DEN,Jamal Murray DEN,3355320
Elfrid Payton,PHO,Elfrid Payton PHO,3332340
Rajon Rondo,NOP,Rajon Rondo NOP,3300000
Doug McDermott,DAL,Doug McDermott DAL,3294994
Jodie Meeks,WAS,Jodie Meeks WAS,3290000
Tyreke Evans,MEM,Tyreke Evans MEM,3290000
Tarik Black,HOU,Tarik Black HOU,3290000
Anthony Tolliver,DET,Anthony Tolliver DET,3290000
Dennis Smith,DAL,Dennis Smith DAL,3218280
Zach LaVine,CHI,Zach LaVine CHI,3202217
Ekpe Udoh,UTA,Ekpe Udoh UTA,3200000
T.J. Warren,PHO,T.J. Warren PHO,3152931
Stanley Johnson,DET,Stanley Johnson DET,3097800
Marquese Chriss,PHO,Marquese Chriss PHO,3073800
Zach Collins,POR,Zach Collins POR,3057240
James Ennis,DET,James Ennis DET,3028410
Seth Curry,DAL,Seth Curry DAL,3028410
Mindaugas Kuzminskas,NYK,Mindaugas Kuzminskas NYK,3025035
Tomas Satoransky,WAS,Tomas Satoransky WAS,3000000
Rajon Rondo,CHI,Rajon Rondo CHI,3000000
Lucas Nogueira,TOR,Lucas Nogueira TOR,2947305
Jusuf Nurkic,POR,Jusuf Nurkic POR,2947305
Malik Monk,CHO,Malik Monk CHO,2904480
Frank Kaminsky,CHO,Frank Kaminsky CHO,2847600
Andrew Nicholson,POR,Andrew Nicholson POR,2844429
Jakob Poeltl,TOR,Jakob Poeltl TOR,2825640
Luke Kennard,DET,Luke Kennard DET,2759280
Justise Winslow,MIA,Justise Winslow MIA,2705040
Michael Carter-Williams,CHO,Michael Carter-Williams CHO,2700000
Thon Maker,MIL,Thon Maker MIL,2684160
Cedi Osman,CLE,Cedi Osman CLE,2642857
Donovan Mitchell,UTA,Donovan Mitchell UTA,2621280
Myles Turner,IND,Myles Turner IND,2569920
Gary Harris,DEN,Gary Harris DEN,2550055
Domantas Sabonis,IND,Domantas Sabonis IND,2550000
Manu Ginobili,SAS,Manu Ginobili SAS,2500000
Reggie Bullock,DET,Reggie Bullock DET,2500000
Richard Jefferson,ATL,Richard Jefferson ATL,2500000
Malcolm Delaney,ATL,Malcolm Delaney ATL,2500000
Bam Adebayo,MIA,Bam Adebayo MIA,2490360
Bruno Caboclo,SAC,Bruno Caboclo SAC,2451225
Ronnie Price,OKC,Ronnie Price OKC,2442455
Trey Lyles,DEN,Trey Lyles DEN,2441400
Dario Saric,PHI,Dario Saric PHI,2422560
Taurean Waller-Prince,ATL,Taurean Waller-Prince ATL,2422560
Rodney Hood,CLE,Rodney Hood CLE,2386864
Justin Jackson,SAC,Justin Jackson SAC,2365560
Shabazz Napier,POR,Shabazz Napier POR,2361360
Clint Capela,HOU,Clint Capela HOU,2334520
Arron Afflalo,ORL,Arron Afflalo ORL,2328652
Raymond Felton,OKC,Raymond Felton OKC,2328652
Nick Collison,OKC,Nick Collison OKC,2328652
Ramon Sessions,NYK,Ramon Sessions NYK,2328652
Jarrett Jack,NYK,Jarrett Jack NYK,2328652
Jason Terry,MIL,Jason Terry MIL,2328652
Udonis Haslem,MIA,Udonis Haslem MIA,2328652
Dwyane Wade,MIA,Dwyane Wade MIA,2328652
David West,GSW,David West GSW,2328652
Richard Jefferson,DEN,Richard Jefferson DEN,2328652
